cell_type,region_a,region_b,kf,kn,omega
Astrocyte,Human A19,Human BM,0.05849895511205837,0.0005403682130041057,108.25758011715965
Astrocyte,Human A19,Human BNST,0.14455870825481598,0.000939431822832089,153.87887097439102
Astrocyte,Human A19,Human CA1-3,0.07936412925493101,0.0013883653596850109,57.16372041501883
Astrocyte,Human A19,Human CA1C-CA3C,0.08725022558265744,0.0008835474416774347,98.74990460841687
Astrocyte,Human A19,Human CA1R-CA2R,0.06389125009750225,0.0005511215489853823,115.92950813686451
Astrocyte,Human A19,Human CA1R-CA2R-CA3R,0.06038038251859454,0.0024423921493898146,24.72182140516601
Astrocyte,Human A19,Human CA1U,0.0754171568635232,0.0005516634576316392,136.70863244648933
Astrocyte,Human A19,Human CA1U-CA2U-CA3U,0.07695101197149659,0.002630065522833457,29.258210985023183
Astrocyte,Human A19,Human CA2U-CA3U,0.07038688438686774,0.0010182815472974146,69.1232052409072
Astrocyte,Human A19,Human CA3R,0.1480802146511343,0.0010328977874936181,143.36386082349821
Astrocyte,Human A19,Human CA4C-DGC,0.08648769320281388,0.000699094499897719,123.71388019140112
Astrocyte,Human A19,Human CBL,0.3343004326457026,0.0026164462513764827,127.76888975641327
Astrocyte,Human A19,Human CBV,0.33257737346894245,0.003056656656792398,108.80429528449012
Astrocyte,Human A19,Human CEN,0.09775281629021519,0.0015548382581746026,62.87008682496538
Astrocyte,Human A19,Human CM,0.22335089221639726,0.001617975181569294,138.04345997431585
Astrocyte,Human A19,Human CM-Pf,0.21639490066684913,0.0011600413122265102,186.54068470330114
Astrocyte,Human A19,Human CMN,0.0811598272490395,0.0005648366792619032,143.687246648172
Astrocyte,Human A19,Human CaB,0.0822546277400819,0.0006376143725899621,129.00372274540666
Astrocyte,Human A19,Human CbDN,0.2589377070817562,0.0021020590181351547,123.18289108336892
Astrocyte,Human A19,Human Cla,0.06670304258923683,0.000495347925566962,134.65897230293297
Astrocyte,Human A19,Human CoA,0.07162322749686498,0.0008656328122629247,82.74088791716268
Astrocyte,Human A19,Human DGR-CA4Rpy,0.08440974018463004,0.0008679135836116537,97.25592706289412
Astrocyte,Human A19,Human DGU-CA4Upy,0.08580546227228766,0.0005706487956702695,150.3647478507385
Astrocyte,Human A19,Human DTg,0.23740696309080211,0.0014667934441078773,161.85439336701978
Astrocyte,Human A19,Human ETH,0.2384655794135969,0.002137010045085484,111.5884223202413
Astrocyte,Human A19,Human FI,0.03181352523506118,0.0005006405341473143,63.545644160127075
Astrocyte,Human A19,Human GPe,0.15098147327802203,0.0015187332394756554,99.41276674114842
Astrocyte,Human A19,Human GPi,0.22166540360923287,0.002141594182435135,103.50485886975308
Astrocyte,Human A19,Human Gpe,0.17775809066217127,0.0022533472924207406,78.88623793592339
Astrocyte,Human A19,Human HTHma,0.26909753308836415,0.0034963234573296646,76.96585752792129
Astrocyte,Human A19,Human HTHma-HTHtub,0.21249436001758376,0.0036715766815147008,57.875506478573584
Astrocyte,Human A19,Human HTHpo,0.12610319614244142,0.0010874173880267663,115.96577131368939
Astrocyte,Human A19,Human HTHpo-HTHso,0.2142241974563164,0.002266134400382441,94.5328738755138
Astrocyte,Human A19,Human HTHso,0.15221843494585602,0.0022903801451712095,66.4598997973227
Astrocyte,Human A19,Human HTHso-HTHtub,0.19442556630182842,0.0015202979508133316,127.88648843328
Astrocyte,Human A19,Human HTHtub,0.19357893228174794,0.002513201586681198,77.0248329093959
Astrocyte,Human A19,Human IC,0.20397369867112408,0.0009820029352757987,207.71190323767965
Astrocyte,Human A19,Human IO,0.32685224152068365,0.0032943129859388867,99.21711838425395
Astrocyte,Human A19,Human ITG,0.009853880770385046,0.00029068847425042245,33.89842268701758
Astrocyte,Human A19,Human Idg,0.01846027294476226,0.00036857170377108903,50.08597446815258
Astrocyte,Human A19,Human Ig,0.006995656634573185,0.00034750732894870193,20.13096142673257
