series,rep,omega,k_f,k_n,k_total,cosine,eta
baseline,20,7.711048236683305,0.016746621296951272,0.0021717697494464607,0.0018886591158914473,0.009796252158084218,
baseline,21,6.586463319927326,0.01795905158359047,0.0027266608362116604,0.0025806713147008852,0.01148333044044092,
baseline,22,12.790053950601417,0.030443184467606466,0.0023802233036065465,0.002794702151113829,0.012396272326971713,
baseline,23,11.21520594571872,0.030359564573905644,0.002707000185359509,0.0026340591647480787,0.011949281099227105,
baseline,24,9.816572030145094,0.023276996883193006,0.00237119401881972,0.002311594429423327,0.011600192200352799,
baseline,25,7.931576390472692,0.019417080008565353,0.0024480732521077273,0.002363055297946391,0.011633013533399073,
baseline,26,9.830077242662966,0.02161053076478161,0.0021984090492179406,0.002397941607228056,0.011846845298672859,
baseline,27,9.583193391854662,0.024023136383352277,0.002506798663144062,0.0023978745683492153,0.011808795798349592,
baseline,28,7.066727897903211,0.019384839024284832,0.002743113829249965,0.002344998843139189,0.011971846064685376,
baseline,29,13.912991256842622,0.0343354370275691,0.002467868799290908,0.0035016128285534067,0.013434956142651888,
baseline,30,7.436851084036358,0.01734163664939599,0.0023318520773692565,0.002210777015441075,0.011318611611288998,
baseline,31,11.01058198294136,0.032312299739762455,0.002934658657446422,0.004863656559047219,0.01616554228269973,
baseline,32,8.406887675292797,0.019400237036138718,0.0023076598362500476,0.0020481791226563536,0.010563257741518117,
baseline,33,8.019510653635825,0.020207832733082985,0.0025198336414605687,0.0025940755664578606,0.012034942003281701,
baseline,34,10.081718374687698,0.025524044437735822,0.002531715674762288,0.0026038467061909702,0.012183075673541044,
baseline,35,8.027060867620488,0.020783091065521772,0.002589128375661942,0.002212176770530131,0.011387458355131885,
baseline,36,7.721669760524478,0.019412503659663384,0.0025140292529610628,0.0024022595346499887,0.011735708294518199,
baseline,37,11.79486100107036,0.031101967673028898,0.002636908367992336,0.002790775820096467,0.013113316217538862,
baseline,38,13.007269942464108,0.03109550056411358,0.0023906246815557997,0.0025767810865040108,0.012184548721915767,
baseline,39,13.66909803477409,0.03305383283681944,0.0024181429347225926,0.0027120346120015886,0.012250950332511779,
baseline,40,20.381312882096,0.0550426994930141,0.0027006454300285265,0.003984856127270389,0.014591832838716234,
baseline,41,11.740812679939548,0.035365605630488864,0.003012194010293243,0.003202417029142806,0.01480204773342142,
baseline,42,9.624194686938969,0.02474478479176194,0.0025711018528483407,0.0030147243945656183,0.012510711006322395,
baseline,43,9.001829745165365,0.01910067091359312,0.002121865382296479,0.002280967179804004,0.010801536705939752,
baseline,44,9.234949584014485,0.02167279765556303,0.0023468236029223393,0.002249032371735406,0.011240827726154978,
baseline,45,8.121386907562176,0.019720330463548787,0.0024281973864816527,0.002364967939327887,0.011187224767759796,
baseline,46,7.351118965038241,0.018231561898067204,0.0024801070401358092,0.0029127033178477247,0.012561084356200403,
baseline,47,9.862675062350934,0.02726351600965683,0.002764312505207701,0.0027496500594412143,0.013357747490070793,
baseline,48,8.425713389981278,0.021506220027764165,0.0025524509358859112,0.002420217066858993,0.011467384731840724,
baseline,49,10.672221334378511,0.02618270109976617,0.0024533506455140346,0.0022863868263766963,0.011576884033606794,
baseline,50,11.836793064377504,0.028493973376629986,0.0024072376041093255,0.0025648776411379692,0.012174421032971394,
baseline,51,7.818275157151273,0.020679936439086503,0.0026450765703955608,0.002489149088432078,0.01218817278062967,
baseline,52,7.527294661916807,0.01842917994494926,0.0024483138727368907,0.002228916543995785,0.011242154827199702,
baseline,53,10.770895068027931,0.026721341866325868,0.002480884058154541,0.0024264898932437867,0.012398204345664188,
baseline,54,24.989412997906737,0.0628346367867305,0.0025144502910890267,0.003614160209988617,0.014432134823852638,
baseline,55,7.727898299468417,0.020373574823261756,0.0026363668404724224,0.0025273217431097035,0.011877591581868074,
baseline,56,7.795917670672231,0.019129564654829852,0.002453792544114994,0.0022190328605991216,0.011286776412198551,
baseline,57,8.13120163825848,0.01911589808067164,0.0023509315020216167,0.0026376079784287826,0.011493649066988132,
baseline,58,12.093996261523172,0.028339022535177585,0.002343230634636267,0.00261147542963651,0.01217126127250756,
baseline,59,10.942466782680619,0.027876811466703226,0.0025475801773349443,0.0027646553314446907,0.01320683071626294,
baseline,60,7.42549636584064,0.017284728583112738,0.002327753961691682,0.002332601554005925,0.011047601379008065,
baseline,61,8.545874875938603,0.02117728269032798,0.0024780707648732166,0.0024491255966634304,0.012217647951512478,
baseline,62,10.33275998755568,0.022517498104695395,0.002179233634751458,0.0021915337883961416,0.01034857100085973,
baseline,63,11.336709337336787,0.028245911160246766,0.0024915440909489064,0.0026374013917054373,0.012777733210966424,
baseline,64,16.766988978554124,0.04422261919973549,0.0026374812589367467,0.003568265035882261,0.013802240848592606,
baseline,65,10.80351436546734,0.028096265555469246,0.0026006598043019176,0.002486315221100508,0.012681243023376587,
